id_str,from_user,text,Hashtags,Target,time
515046273901400000,mingarao,@jlminel remet en perspective la survenue du #websem14 dans l'histoire de l'informatique : le #déclaratif revient (mais masqué cette fois :), #websem14 #déclaratif ,@jlminel,25/09/2014 08:52:55
515046080632087000,spouyllau,Les questions de termino sont complexes dans le #websem14 : le poids des métiers pèsent dans la dénomination des choses du websem., #websem14 ,,25/09/2014 08:52:09
515046074227364000,susatari,"RT @neuromancien: les thésaurus sont comme les sous-vêtements, tout le monde en veut mais personne ne veut les partager #websem14", #websem14,@neuromancien,25/09/2014 08:52:07
515045017795441000,spouyllau,"70’s : SQL fut dans la position du « web sémantique » face aux systèmes fermés de filesystems de big blue, etc. #websem14", #websem14,,25/09/2014 08:47:55
515044066560868000,spouyllau,@neuromancien Merci à toi aussi ! #websem14, #websem14,@neuromancien,25/09/2014 08:44:09
515044055621726000,lalyanou,"RT @neuromancien: les thésaurus sont comme les sous-vêtements, tout le monde en veut mais personne ne veut les partager #websem14", #websem14,@neuromancien,25/09/2014 08:44:06
515043973938045000,neuromancien,"les thésaurus sont comme les sous-vêtements, tout le monde en veut mais personne ne veut les partager #websem14", #websem14,,25/09/2014 08:43:47
515043895236125000,rlerignier,"RT @seeksanusername: La normalisation est un compromis: bon rappel de @lespetitescases, pour nous les français-grincheux ;-) #websem14", #websem14,@seeksanusername @lespetitescases,25/09/2014 08:43:28
515043773936845000,neuromancien,merci à tous pour cette formation #websem14, #websem14,,25/09/2014 08:42:59
515043132699075000,spouyllau,.@jlminel présente quelques perspectives int. des usages du web sem en p. dans le cadre du pat. culturel #websem14, #websem14,@jlminel,25/09/2014 08:40:26
515042288385688000,seeksanusername,"Pour terminer cette formation ANF #websem14, @jlminel intervient et appelle aux interactions dans la salle.", #websem14 ,@jlminel,25/09/2014 08:37:05
515041511487341000,maryicka,"RT @seeksanusername: La normalisation est un compromis: bon rappel de @lespetitescases, pour nous les français-grincheux ;-) #websem14", #websem14,@seeksanusername @lespetitescases,25/09/2014 08:34:00
515041511487341000,maryicka,"RT @seeksanusername: La normalisation est un compromis: bon rappel de @lespetitescases, pour nous les français-grincheux ;-) #websem14", #websem14,@seeksanusername @lespetitescases,25/09/2014 08:34:00
515033960158872000,seinecle_FR,@spouyllau: Les services @Huma_Num sont fondés sur les principes du web sémantique @rech_isidore il y a 3 ans et auj. @nakala_fr #websem14, #websem14,@spouyllau @Huma_Num @rech_isidore @nakala_fr,25/09/2014 08:03:59
515016618620256000,spouyllau,@mingarao je soupçonne un hackin pendant ma pres :-) car de suite après cela fonctionnait :-) #websem14, #websem14,@mingarao,25/09/2014 06:55:05
515011573887549000,spouyllau,"Ceci devrait plaire aux développeurs, ds @nakala_fr les métadonnées RDF sont dispo en JSON, RDF/XML… #websem14 http://t.co/CbWMepoQ9h", #websem14 ,@nakala_fr,25/09/2014 06:35:02
515008738693251000,spouyllau,Les services @Huma_Num sont fondés sur les principes du web sémantique @rech_isidore il y a 3 ans et auj. @nakala_fr #websem14, #websem14,@Huma_Num @rech_isidore @nakala_fr,25/09/2014 06:23:46
515007994669855000,mingarao,"RT @spouyllau: Ce matin à #websem14, @jlminel met en perspective Int. le web  sémantique #scope #rdf #ontologies 1/2", #websem14 #scope #rdf #ontologies ,@spouyllau @jlminel,25/09/2014 06:20:48
515007994669855000,mingarao,"RT @spouyllau: Ce matin à #websem14, @jlminel met en perspective Int. le web  sémantique #scope #rdf #ontologies 1/2", #websem14 #scope #rdf #ontologies ,@spouyllau @jlminel,25/09/2014 06:20:48
515006476570866000,spouyllau,"Les SHS/fr profiteront-elles des méthodes du web sémantique ? #websem14 a proposé une trajectoire, à vous de la saisir 2/2", #websem14 ,,25/09/2014 06:14:47
515005800096748000,spouyllau,"Ce matin à #websem14, @jlminel met en perspective Int. le web  sémantique #scope #rdf #ontologies 1/2", #websem14 #scope #rdf #ontologies ,@jlminel,25/09/2014 06:12:05
