id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_utc_offset,status_url,entities_str
515066438252781568,ocontat,RT @emma_morlock: #websem14 RT @Le_GFII: Web sémantique et modèle de données  autour du projet #data de  @ActuBnF http://t.co/F89cu2E4FT,Thu Sep 25 09:13:03 +0000 2014,25/09/2014 10:13:03,,fr,,,111600205,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/685629703/370344013_0f03ba8d51_m_normal.jpg,483,373,7200,http://twitter.com/ocontat/statuses/515066438252781568,"{""symbols"":[],""urls"":[{""expanded_url"":""http://bit.ly/1rsQioF"",""indices"":[114,136],""display_url"":""bit.ly/1rsQioF"",""url"":""http://t.co/F89cu2E4FT""}],""hashtags"":[{""text"":""websem14"",""indices"":[18,27]},{""text"":""data"",""indices"":[95,100]}],""user_mentions"":[{""id"":130530714,""name"":""Emmanuelle Morlock"",""indices"":[3,16],""screen_name"":""emma_morlock"",""id_str"":""130530714""},{""id"":267834923,""name"":""GFII"",""indices"":[31,39],""screen_name"":""Le_GFII"",""id_str"":""267834923""},{""id"":857691266,""name"":""Bibliothèque BnF"",""indices"":[105,113],""screen_name"":""ActuBnF"",""id_str"":""857691266""}]}"
515064443253043200,seeksanusername,"Le @smithsonian utilise l'ontologie #PROV pour garder une trace des réalignements effectués, provenance #websem14",Thu Sep 25 09:05:07 +0000 2014,25/09/2014 10:05:07,,fr,,,119048849,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/477509163392581633/VNr8MuUZ_normal.jpeg,1151,598,10800,http://twitter.com/seeksanusername/statuses/515064443253043200,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""PROV"",""indices"":[36,41]},{""text"":""websem14"",""indices"":[104,113]}],""user_mentions"":[{""id"":14199378,""name"":""Smithsonian"",""indices"":[3,15],""screen_name"":""smithsonian"",""id_str"":""14199378""}]}"
515063743022387200,seeksanusername,On s'aligne avec ce qu'il y a (à propos du réal. #Smithsonian avec le #NYTimes) ! #pragmatisme de @lespetitescases #websem14,Thu Sep 25 09:02:20 +0000 2014,25/09/2014 10:02:20,,fr,,,119048849,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/477509163392581633/VNr8MuUZ_normal.jpeg,1151,598,10800,http://twitter.com/seeksanusername/statuses/515063743022387200,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""Smithsonian"",""indices"":[49,61]},{""text"":""NYTimes"",""indices"":[70,78]},{""text"":""pragmatisme"",""indices"":[82,94]},{""text"":""websem14"",""indices"":[115,124]}],""user_mentions"":[{""id"":13810452,""name"":""Gautier Poupeau"",""indices"":[98,114],""screen_name"":""lespetitescases"",""id_str"":""13810452""}]}"
515062766894592001,seeksanusername,"Lors du mapping, on est confronté aux #données #EtCaFaitSouventMal #websem14",Thu Sep 25 08:58:27 +0000 2014,25/09/2014 09:58:27,,fr,,,119048849,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/477509163392581633/VNr8MuUZ_normal.jpeg,1151,598,10800,http://twitter.com/seeksanusername/statuses/515062766894592001,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""données"",""indices"":[38,46]},{""text"":""EtCaFaitSouventMal"",""indices"":[47,66]},{""text"":""websem14"",""indices"":[67,76]}],""user_mentions"":[]}"
515061491998134272,mingarao,"RT @seeksanusername: Pour #Karma, voilà le #github de l'application (pr OpenRefine: http://t.co/QElzhmlgng)  #websem14 http://t.co/T6YRCApW…",Thu Sep 25 08:53:23 +0000 2014,25/09/2014 09:53:23,,fr,,,370166662,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/467313383537004545/fFrZLyqt_normal.jpeg,90,486,,http://twitter.com/mingarao/statuses/515061491998134272,"{""symbols"":[],""urls"":[{""expanded_url"":""http://goo.gl/mXjMn"",""indices"":[84,106],""display_url"":""goo.gl/mXjMn"",""url"":""http://t.co/QElzhmlgng""},{""expanded_url"":""http://goo.gl/NyTRW8"",""indices"":[139,140],""display_url"":""goo.gl/NyTRW8"",""url"":""http://t.co/T6YRCApWXX""}],""hashtags"":[{""text"":""Karma"",""indices"":[26,32]},{""text"":""github"",""indices"":[43,50]},{""text"":""websem14"",""indices"":[109,118]}],""user_mentions"":[{""id"":119048849,""name"":""Courtin Antoine"",""indices"":[3,19],""screen_name"":""seeksanusername"",""id_str"":""119048849""}]}"
515060697685057536,seeksanusername,"Ac les #LAMs, on change d'échelle dans la modélisation: 407 classes, 105 #dataproperties, 229 #objectproperties : pb pr échanger #websem14",Thu Sep 25 08:50:14 +0000 2014,25/09/2014 09:50:14,,fr,,,119048849,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/477509163392581633/VNr8MuUZ_normal.jpeg,1151,598,10800,http://twitter.com/seeksanusername/statuses/515060697685057536,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""LAMs"",""indices"":[7,12]},{""text"":""dataproperties"",""indices"":[73,88]},{""text"":""objectproperties"",""indices"":[94,111]},{""text"":""websem14"",""indices"":[129,138]}],""user_mentions"":[]}"
515059798824714240,spouyllau,"RT @seeksanusername: Pour #Karma, voilà le #github de l'application (pr OpenRefine: http://t.co/QElzhmlgng)  #websem14 http://t.co/T6YRCApW…",Thu Sep 25 08:46:40 +0000 2014,25/09/2014 09:46:40,,fr,,,22467215,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/440479687274274816/u-6L9OYm_normal.jpeg,1127,325,7200,http://twitter.com/spouyllau/statuses/515059798824714240,"{""symbols"":[],""urls"":[{""expanded_url"":""http://goo.gl/mXjMn"",""indices"":[84,106],""display_url"":""goo.gl/mXjMn"",""url"":""http://t.co/QElzhmlgng""},{""expanded_url"":""http://goo.gl/NyTRW8"",""indices"":[139,140],""display_url"":""goo.gl/NyTRW8"",""url"":""http://t.co/T6YRCApWXX""}],""hashtags"":[{""text"":""Karma"",""indices"":[26,32]},{""text"":""github"",""indices"":[43,50]},{""text"":""websem14"",""indices"":[109,118]}],""user_mentions"":[{""id"":119048849,""name"":""Courtin Antoine"",""indices"":[3,19],""screen_name"":""seeksanusername"",""id_str"":""119048849""}]}"
515059675554119680,spouyllau,Le SAAM :  41000 objets dans le LOD ? http://t.co/DkISOy78W3 #websem14,Thu Sep 25 08:46:10 +0000 2014,25/09/2014 09:46:10,,fr,,,22467215,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/440479687274274816/u-6L9OYm_normal.jpeg,1127,325,7200,http://twitter.com/spouyllau/statuses/515059675554119680,"{""symbols"":[],""urls"":[{""expanded_url"":""http://semanticweb.com/tag/smithsonian-american-art-museum"",""indices"":[38,60],""display_url"":""semanticweb.com/tag/smithsonia\u2026"",""url"":""http://t.co/DkISOy78W3""}],""hashtags"":[{""text"":""websem14"",""indices"":[61,70]}],""user_mentions"":[]}"
515058979404525568,seeksanusername,"Pour #Karma, voilà le #github de l'application (pr OpenRefine: http://t.co/QElzhmlgng)  #websem14 http://t.co/T6YRCApWXX",Thu Sep 25 08:43:24 +0000 2014,25/09/2014 09:43:24,,fr,,,119048849,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/477509163392581633/VNr8MuUZ_normal.jpeg,1151,598,10800,http://twitter.com/seeksanusername/statuses/515058979404525568,"{""symbols"":[],""urls"":[{""expanded_url"":""http://goo.gl/mXjMn"",""indices"":[63,85],""display_url"":""goo.gl/mXjMn"",""url"":""http://t.co/QElzhmlgng""},{""expanded_url"":""http://goo.gl/NyTRW8"",""indices"":[98,120],""display_url"":""goo.gl/NyTRW8"",""url"":""http://t.co/T6YRCApWXX""}],""hashtags"":[{""text"":""Karma"",""indices"":[5,11]},{""text"":""github"",""indices"":[22,29]},{""text"":""websem14"",""indices"":[88,97]}],""user_mentions"":[]}"
515058012273532928,Pepine,#BigUp à @mingarao qui parvient à tweeter la présentation de @jlminel malgré sa densité #websem14,Thu Sep 25 08:39:34 +0000 2014,25/09/2014 09:39:34,,en,,,42386575,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/1899532603/DSC00569-reduite_normal.jpg,566,645,,http://twitter.com/Pepine/statuses/515058012273532928,"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""BigUp"",""indices"":[0,6]},{""text"":""websem14"",""indices"":[88,97]}],""user_mentions"":[{""id"":370166662,""name"":""Maud Ingarao"",""indices"":[9,18],""screen_name"":""mingarao"",""id_str"":""370166662""},{""id"":242681401,""name"":""Jean-Luc Minel"",""indices"":[61,69],""screen_name"":""jlminel"",""id_str"":""242681401""}]}"
